"1","Акции","скидки"
"1","Акции","скидки, ассортимент"
"1","Акции","скидки, акции"
"1","Акции","акции"
"1","Акции","акции"
"1","Акции","акции"
"1","Акции","акции"
"1","Акции","Много магазинов по городу, акции на товары хорошие"
"1","Акции","Скидки, акции"
"1","Акции","Акции, удобное расположение"
"1","Акции","Есть хорошие акции"
"1","Акции","Берём товар по акции (акции)"
"1","Акции","Всегда есть скидки"
"1","Акции","Есть акции, ассортимент расширить"
"1","Акции","Много товаров со скидкой, но не говорят, что можно пользоваться копилкой"
"1","Акции","Мало акций, чем в аллее, например"
"1","Акции","Акции проходят иногда"
"1","Акции","Скидки, акции"
"1","Акции","Хотелось бы больше акций"
"1","Акции","Акции и приятные цены"
"1","Акции","Хорошие акции и расположен удобно"
"1","Акции","Больше акций"
"1","Акции","Акций больше цены снизить"
"1","Акции","Есть товар с акциями, расположен удобно, ассортимент хороший"
"1","Акции","Есть акции, ассортимент хороший"
"1","Акции","Есть скидки и цены приемлемые, есть и даже низкие"
"1","Акции","Мало акций"
"1","Акции","Постоянные акции"
"1","Акции","Много акций, но так дороговато"
"1","Акции","Акции, но не на все они есть"
"1","Акции","Акции, цены дорогие"
"1","Акции","Скидки большие, на любой кошелек"
"1","Акции","Акции, большой ассортимент"
"1","Акции","Нет скидок на подсолнечное масло"
"1","Акции","Акции"
"1","Акции","Скидки и качество товара"
"1","Акции","Товары по акции"
"1","Акции","Акции"
"1","Акции","Прихожу крайне редко, берём по акции их много это и нравится"
"1","Акции","Есть акции приятные цены местами ниже чем в ленте"
"1","Акции","Бываю редко, но нравится ассортимент и акции"
"1","Акции","Покупаю по акциям товар их тут много"
"1","Акции","Побольше акций хотелось бы"
"1","Акции","Скидки, ассортимент"
"1","Акции","Постоянно скидки есть"
"1","Акции","Беру по акции очень нравится, хорошие овощи"
"1","Акции","Хожу исключительно редко, берём по акции"
"1","Акции","Отличные акции и ассортимент"
"1","Акции","Акции очень нравятся"
"1","Акции","Мало акций, хотелось бы к новому году больше"
"1","Акции","Одинаковые акции"
"1","Акции","Хорошие акции"
"1","Акции","Без акции дорого"
"1","Акции","Нравятся акции, чисто"
"1","Акции","Без акции дорого"
"1","Акции","Всегда много акций"
"1","Акции","Хотелось бы побольше акций"
"2","Ассортимент","Расширить ассортимент"
"2","Ассортимент","Прекрасный ассортимент и цены не высокие"
"2","Ассортимент","Есть все что нужно, есть акции"
"2","Ассортимент","Хороший ассортимент акции"
"2","Ассортимент","Вкусные салаты, булочки, хороший выбор мяса"
"2","Ассортимент","Хороший ассортимент, но без карты дорого"
"2","Ассортимент","Расположение удобное, ассортимент расширить"
"2","Ассортимент","Ассортимент, акции"
"2","Ассортимент","Хороший выбор алкогольной продукции Регулярные акции"
"2","Ассортимент","Шикарный ассортимент"
"2","Ассортимент","Есть все что нужно и рядом с домом"
"2","Ассортимент","Прекрасный выбор фруктов, бытовая химии"
"2","Ассортимент","Радует ассортимент и скидки"
